seller_id	seller_name	seller_state	tier	order_volume	n_reviewed	avg_review_score	negative_review_rate	on_time_rate	on_time_count	late_count	avg_delay_days	avg_dispatch_days	gmv	avg_freight_ratio	high_freight
0015a82c2db000af6aaaf3ae2ecb0532	Joffrey Baratheon 10	SP		3	3	3.6667	0.3333	1.0	3	0		2.8044	2748.06	0.0235	False
001cca7ae9ae17fb1caed9dfb1094831	Ilyn Payne	ES	Mid	195	192	4.0625	0.1385	0.9333	182	13	11.8716	2.1869	33142.9	0.3611	False
002100f778ceb8431b7a1020ff7ab48f	Shae 11	SP	Mid	50	50	3.96	0.14	0.82	41	9	8.2534	3.47	1995.16	0.7698	True
003554e2dce176b5555353e4f3555ac8	Beric Dondarrion 26	GO		1	1	5.0	0.0	1.0	1	0		0.5236	139.38	0.1615	False
004c9cd9d87a3c30c522c48c4fc07416	Joffrey Baratheon 2	SP	Mid	156	149	4.1678	0.1218	0.9167	143	13	8.9135	1.3862	23094.02	0.1914	False
00720abe85ba0859807595bbf045a33b	Lyanna Mormont 14	SP	Low	13	13	3.6154	0.2308	0.8462	11	2	10.2433	3.4173	1323.48	0.538	True
00ab3eff1b5192e5f1a63bcecfee11c8	Viserys Targaryen 27	SP		1	1	5.0	0.0	1.0	1	0		3.8988	110.08	0.1233	False
00d8b143d12632bad99c0ad66ad52825	Night King 26	MG		1	1	5.0	0.0	1.0	1	0		1.6171	137.1	0.5942	True
00ee68308b45bc5e2660cd833c3f81cc	Davos Seaworth 2	SP	Mid	135	132	4.2879	0.1111	0.9111	123	12	10.8286	1.6679	23440.66	0.1884	False
00fc707aaaad2d31347cf883cd2dfe10	Bran Stark 3	PR	Mid	103	96	4.1458	0.1262	0.9515	98	5	6.3578	2.325	14969.99	0.1879	False
010543a62bd80aa422851e79a3bc7540	Ros 13	SP		2	2	4.5	0.0	1.0	2	0		2.8834	1447.95	0.0226	False
010da0602d7774602cd1b3f5fb7b709e	Drogo 15	SP		1	1	1.0	1.0	1.0	1	0		20.7207	1079.75	0.271	False
011b0eaba87386a2ae96a7d32bb531d1	Sandor Clegane 27	SP		1	1	4.0	0.0	1.0	1	0		14.5477	129.16	0.2919	False
01266d4c46afa519678d16a8b683d325	Coldhands 26	PR		3	3	5.0	0.0	1.0	3	0		0.6334	137.48	0.7801	True
013900e863eace745d3ec7614cab5b1a	Rhaegar Targaryen 11	PR	Top	23	23	4.6957	0.0435	1.0	23	0		3.2125	2089.37	0.2984	False
